National Center for Education Statistics,,,,
College Navigator,,,,
Generated at:10/3/2021 6:36:06 PM from URL:http://nces.ed.gov/collegenavigator/default.aspx?q=Rens&s=NY&fv=196051+196097+190594+196413+194824&cp=1&sl=190594+196097+196051+196413&xp=1,,,,
,CUNY Hunter College,Stony Brook University,SUNY Morrisville,Syracuse University
75th Percentile,31,32,23,-
ACT English,,,,
25th Percentile,25,25,16,-
75th Percentile,33,34,21,-
ACT Math,,,,
25th Percentile,24,25,17,-
75th Percentile,30,32,25,-
Retention and Graduation Rates,,,,
Retention rates for first-time students1 who began program in 2019,,,,
Full-time,84%,90%,73%,89%
Part-time,52%,67%,-,37%
1 4-year schools report retention for first-time bachelor degree-seeking students only.,,,,
"Graduation rates for full-time, first-time undergraduates who began program in",2014,2014,2014,2014
Percentage of entering students counted in calculating graduation rate,47%,67%,79%,90%
Overall graduation rate,56%,76%,38%,83%
Transfer-out rate,29%,13%,31%,-
"Bachelor's degree rate, 4-year",27%,63%,-,71%
"Bachelor's degree rate, 5-year",50%,74%,-,82%
"Bachelor's degree rate, 6-year",56%,76%,-,83%
Outcome Measures,,,,
"Award and enrollment rates after 8-years of entry for degree/certificate-seeking undergraduates who entered in 2012-13, by Pell status",,,,
First-time entering,,,,
Full-time,,,,
Received a certificate,0%,-,-,0%
Received an Associate's degree,-,-,24%,0%
Received a Bachelor's degree,60%,75%,13%,83%
Enrolled at same institution,3%,0%,0%,0%
Enrolled at different institution,25%,17%,35%,13%
"Full-time, Pell",,,,
Received a certificate,0%,-,-,0%
Received an Associate's degree,-,-,22%,0%
Received a Bachelor's degree,60%,78%,9%,80%
Enrolled at same institution,2%,1%,0%,0%
Enrolled at different institution,25%,17%,37%,15%
"Full-time, non-Pell",,,,
Received a certificate,0%,-,-,0%
Received an Associate's degree,-,-,28%,0%
Received a Bachelor's degree,60%,74%,22%,84%
Enrolled at same institution,3%,0%,0%,0%
Enrolled at different institution,25%,17%,30%,12%
Part-time,,,,
Received a certificate,0%,-,-,6%
Received an Associate's degree,-,-,10%,6%
Received a Bachelor's degree,24%,0%,0%,35%
Enrolled at same institution,5%,0%,0%,0%
Enrolled at different institution,35%,100%,24%,12%
"Part-time, Pell",,,,
Received a certificate,0%,-,-,8%
Received an Associate's degree,-,-,7%,8%
Received a Bachelor's degree,8%,-,0%,31%
Enrolled at same institution,8%,-,0%,0%
Enrolled at different institution,25%,-,33%,8%
"Part-time, non-Pell",,,,
Received a certificate,0%,-,-,0%
Received an Associate's degree,-,-,14%,0%
Received a Bachelor's degree,28%,0%,0%,50%
Enrolled at same institution,4%,0%,0%,0%
Enrolled at different institution,38%,100%,14%,25%
Non-first-time entering,,,,
Full-time,,,,
Received a certificate,0%,-,-,0%
Received an Associate's degree,-,-,24%,0%
Received a Bachelor's degree,60%,75%,13%,83%
Enrolled at same institution,3%,0%,0%,0%
Enrolled at different institution,25%,17%,35%,13%
"Full-time, Pell",,,,
Received a certificate,0%,-,-,0%
Received an Associate's degree,-,-,22%,0%
Received a Bachelor's degree,60%,78%,9%,80%
Enrolled at same institution,2%,1%,0%,0%
Enrolled at different institution,25%,17%,37%,15%
"Full-time, non-Pell",,,,
Received a certificate,0%,-,-,0%
Received an Associate's degree,-,-,28%,0%
Received a Bachelor's degree,60%,74%,22%,84%
Enrolled at same institution,3%,0%,0%,0%
Enrolled at different institution,25%,17%,30%,12%
Part-time,,,,
Received a certificate,0%,-,-,6%
Received an Associate's degree,-,-,10%,6%
Received a Bachelor's degree,24%,0%,0%,35%
Enrolled at same institution,5%,0%,0%,0%
Enrolled at different institution,35%,100%,24%,12%
"Part-time, Pell",,,,
Received a certificate,0%,-,-,8%
Received an Associate's degree,-,-,7%,8%
Received a Bachelor's degree,8%,-,0%,31%
Enrolled at same institution,8%,-,0%,0%
Enrolled at different institution,25%,-,33%,8%
"Part-time, non-Pell",,,,
Received a certificate,0%,-,-,0%
Received an Associate's degree,-,-,14%,0%
Received a Bachelor's degree,28%,0%,0%,50%
Enrolled at same institution,4%,0%,0%,0%
Enrolled at different institution,38%,100%,14%,25%
(-) Item not applicable,,,,
"Items not applicable means an institution did not report students in 2012-13 for one or more of the student characteristics: attendance (full- or part-time); prior postsecondary experience (first-time or non-first-time); or Pell grant status. Also, some institutions may not have reported all three types of awards (certificates, Associate’s degree, or Bachelor’s degree) that they conferred because it is most likely these institutions do not offer all three type of awards.",,,,
